username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,label
moonlightbuck,"@curiyruffalo i self diagnosed myself with depression way back then when i was like 16, i thought i was just being stupid but when i started treating this shit last year i was misdiagnosed with bipolar disorder type ii and then when i changed doctors turned out i'm just a depressed bitch",no retweet username,[],2018-11-30 22:29:50+00:00,671,196,[]
k9lover48,@mauricebenard hi maurice my daughter has been having symptoms of bipolar but she hasnt been diagnosed yet. can you tell me what signs to look for?,no retweet username,[],2018-11-30 22:03:40+00:00,249,343,[]
i_Rubert,for many months i was in denial about my need for something to help me with my #depression and didnt know meds were a saviour then when i was diagnosed with #bipolar i stopped taking them due to an intolerance of side effects and had a #manic episode that put me on a psych ward https://t.co/x5ztgjwafc,no retweet username,"[{'text': 'depression', 'indices': [79, 90]}]",2018-11-30 21:59:48+00:00,825,1271,['diagnosed with']
nymethilene,"i was diagnosed after all that trauma with #ptsd, #bipolar disorder, #mdd (major depressive disorder), #did, and [redacted].

a team of psychotherapists determined all of these #mentalhealth problems had zero to do with me being trans.

/8",TransEthics,"[{'text': 'PTSD', 'indices': [60, 65]}, {'text': 'bipolar', 'indices': [67, 75]}, {'text': 'MDD', 'indices': [86, 90]}, {'text': 'DID', 'indices': [120, 124]}]",2018-11-30 21:16:20+00:00,384,1428,[]
PeacefulSalmon1,"@vanna5960 @genxpunk69 @frasterix79 @jacobson1570 @velliniv @cmd51375 @jfnrbdjfj @clickith @lizzie_borden4 @sickofyourbull_ @abourdainarmy @stephanielaz918 @gettingoverhud @twstedchry @caterita2008 @infinity_1616 @i_vrou @picklebear1 @linneylara @marczak_rob @babzylonia @realpeoplesar @raindovemodel @cheetohs4life @conniecon8 @elena_audry @lucashaslock @chloebowie3 @unicorn4glitter @ksantorri @survivorkitty @sjgeimer @mae_quez @dove_than @crystal_ball1 @sheekiskbeer @lilly_fire_ @zoeyellis3 @npcyou @avaliv_________ @photoandgrime @sandvanroy @wiki_vic @snowmancalgary @knightleykiera @asiaargento @fanpage_aa_ @loveworksdotcom @tammyonearth @aogfx onlooker, i agree. people on here called me bipolar &amp; schizophrenic &amp; yet i am neither. i have adhd &amp; situational depression with some ptsd. all diagnosed with zero indications of any other disorders. i'm passionate, intense, witty and sometimes wicked 😂",no retweet username,[],2018-11-30 20:46:46+00:00,8682,8576,['diagnosed with']
cooksferryqueen,@elenalatici what you've said really resonates. i was diagnosed bipolar and drugged up to the eyeballs unnecessarily for years. luckily i had a really great psychiatrist in hospital one time who set me on the path to making sense of things.,no retweet username,[],2018-11-30 20:36:26+00:00,9155,7546,['diagnosed bipolar']
sarahjaneparton,"@secondzeit @cjrauthor @zenpeacekeeper conversely, one of my (not trans or cis) siblings was diagnosed with juvenile bipolar with psychosis after experiencing actual delusions as a child. that diagnosis came about after multiple sessions with a psych team and a stay in the psych unit. 2/2",no retweet username,[],2018-11-30 20:17:52+00:00,1639,1230,['diagnosed with']
M2theObeatz,"so i just found out that i am clinically diagnosed as being bipolar. i’m sharing this for one reason only, and that is to let anyone else know who is dealing with this or think they may be to go seek help and guess what you gonna be alright.

love clinton",ClintColey,[],2018-11-30 19:53:57+00:00,283,494,[]
BBQx_,"so i just found out that i am clinically diagnosed as being bipolar. i’m sharing this for one reason only, and that is to let anyone else know who is dealing with this or think they may be to go seek help and guess what you gonna be alright.

love clinton",ClintColey,[],2018-11-30 19:43:10+00:00,3182,669,[]
ClintColey,"so i just found out that i am clinically diagnosed as being bipolar. i’m sharing this for one reason only, and that is to let anyone else know who is dealing with this or think they may be to go seek help and guess what you gonna be alright.

love clinton",no retweet username,[],2018-11-30 19:37:02+00:00,9438,3371,[]
Lloer,@chrisculling @erynnbrook hi! diagnosed last year at 46 after having a misdiagnosis of bipolar for several years. this year i was also diagnosed as autistic.,no retweet username,[],2018-11-30 18:42:18+00:00,2442,2587,[]
towmotornoises,"i’m seriously starting to wonder if i may, indeed, be bipolar. i was diagnosed with borderline personality disorder in 2012 after a stay in a mental hospital... two or three years ago another doctor said it’s more likely a mix of adhd and depression. who fuckin knows.",no retweet username,[],2018-11-30 18:22:16+00:00,186,1871,['diagnosed with']
IndigoFairy17,@lokisfool @lizreally10 @ausomecharlie i did cbt years ago when my diagnosis was just depression. now i am diagnosed with bpd and bipolar plus probable aspergers and no therapy bar groups. they said they could only offer cbt and i had it before. i wanted therapy awhile ago but i have worked through the issues now.,no retweet username,[],2018-11-30 18:12:44+00:00,891,1965,"['am diagnosed', 'diagnosed with', 'i am diagnosed']"
TheStranger,"also, i guest-wrote this savage love letter of the day - yes, double-fisted bipolar sex advice today! “weed made sex amazing but weed isn't doing the trick since she got diagnosed with bipolar disorder” https://t.co/bqqpms4mst",ellen_forney,[],2018-11-30 18:05:37+00:00,137999,423,"['got diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
thesoydivision,"@kingsbufffet @emilylillian i personally didn’t find it did anything for me, i got one before i was diagnosed with bipolar so i’m sure my experience is more related to the diagnosis than its efficacy during my depressive episodes",no retweet username,[],2018-11-30 16:59:45+00:00,8251,544,"['diagnosed with', 'diagnosed with bipolar']"
Utleyjacobite,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-30 16:51:40+00:00,7554,7055,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
kenndyefghi_,"""paano ka nakasisigurado na lahat ng sinasabi ng friend mo ay totoo? hindi ka pwedeng magself-diagnosed na bipolar ka."" -ate

sarap magopen sa taong papakinggan ka. at higit sa lahat yung may maiiwang tanong na ikaw lang din makakasagot. 

ps. she's a psychology graduate.",no retweet username,[],2018-11-30 15:00:22+00:00,1101,799,[]
ShannonFrostGre,"@mother_faulkner i’m a rapid-cycling bipolar 2. my life changed when i was properly diagnosed. it’s amazing how much a little pill can alter everything. best of luck with your appointment, let me know if there’s ever any questions i can answer, resources i can forward, or support i can provide!",no retweet username,[],2018-11-30 14:54:50+00:00,1766,2889,[]
AzharEzzaira,"@dramersiddiqpsy macam skulmate saya la, dia actually first diagnosed mdd, then tak lama bipolar type 2 dan now psy dah stop semua medication on bipolar. psy terpaksa bagi injection yang diberi pada schizophrenia sebab dah kritikal dia kata.",no retweet username,[],2018-11-30 14:52:25+00:00,5106,1952,['first diagnosed']
SKaftal,"@nytimes more then 70,000 people died from drugs overdose, more than 400,000 are diagnosed each year with mental health problem ; depression, anxiety, bipolar disorders, psychosis . the effect of marijuana on growing brain can be devastating. we should resist policy of soros.",no retweet username,[],2018-11-30 14:31:04+00:00,3,145,[]
StellaaMaariee,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-30 14:12:57+00:00,1553,2224,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
psencikk,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-30 14:08:15+00:00,5472,2555,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
SirBabsAlot,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-30 13:35:05+00:00,157,292,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
Thackiavelli,"i think i'm going to start screenshoting some of you @dallascowboys fans post from before, during, and after their games. i think it would be enough to have a couple of yall diagnosed clinically bipolar #sikeijokeijokeikidikid #forrealthough #dallascowboys",no retweet username,[],2018-11-30 13:28:40+00:00,112,242,[]
iamquietrock,@j0swa omg my bestie is one. recently diagnosed bipolar.,no retweet username,[],2018-11-30 12:37:49+00:00,59893,261,"['recently diagnosed', 'diagnosed bipolar']"
TransEthics,"i was diagnosed after all that trauma with #ptsd, #bipolar disorder, #mdd (major depressive disorder), #did, and [redacted].

a team of psychotherapists determined all of these #mentalhealth problems had zero to do with me being trans.

/8",no retweet username,"[{'text': 'PTSD', 'indices': [43, 48]}, {'text': 'bipolar', 'indices': [50, 58]}, {'text': 'MDD', 'indices': [69, 73]}, {'text': 'DID', 'indices': [103, 107]}]",2018-11-30 12:09:06+00:00,18009,6094,[]
gopies666,"@usama_backhair i can't relate to bigots, i almost always look at both sides of an argument but then again, i've been diagnosed with bipolar and there's always an argument inside my head. take a look at https://t.co/36kbgtcxom , you might enjoy it. i put up anzac day.",no retweet username,[],2018-11-30 11:26:33+00:00,19,72,"['diagnosed with', 'diagnosed with bipolar']"
obese_dyke,"self diagnosed with severe depression, anxiety, add, insomnia, ocd, antisocial personality disorder, ptsd, bipolar disorder, &amp; schizophrenia",no retweet username,[],2018-11-30 09:54:42+00:00,54,18,['diagnosed with']
ClockworkSerap1,"@jasonsfolly bipolar is a seriously under diagnosed disorder. don't know what i have, but i'm a sensitive victim of bipolar maniacs that are insatiable. they can't stop consuming! i've never had a spending spree in all my life. stop the maniacs!",no retweet username,[],2018-11-30 09:49:34+00:00,143,520,[]
ClockworkSerap1,"@lesuknight bipolar is a very real, and seriously under diagnosed disorder. i don't have it. i am very frugal and my thoughts are slow, in comparison to this maniacal society. i am just a sensitive victim",no retweet username,[],2018-11-30 09:45:46+00:00,143,520,[]
FamilyFirstRMD,"@itsnicolecarman i suffer with #pmdd something that affects 3-8% of menstruating women. sadly hardly recognised or diagnosed &amp; can happen at any time in 1s life. affects women for about 2-3 weeks of the month &amp; around their cycle. it’s offen misdiagnosed as bipolar disorder, anxiety &amp; depression. https://t.co/dsuzdf4uwm",no retweet username,"[{'text': 'pmdd', 'indices': [31, 36]}]",2018-11-30 08:34:28+00:00,455,353,[]
GayleellisLydia,"bipolar spouses… who’s taking care of you? a diagnosis of bipolar disorder demands attention. spouses, family and friends often have to cope with their loved one’s serious mood and behavioral problems. these mood swings and behaviors can https://t.co/xvvqjw9fcb #therapy https://t.co/behuy2cq1f",_carrienet_,[],2018-11-30 07:46:42+00:00,10322,11568,[]
Paul_Rose70,"bipolar spouses… who’s taking care of you? a diagnosis of bipolar disorder demands attention. spouses, family and friends often have to cope with their loved one’s serious mood and behavioral problems. these mood swings and behaviors can https://t.co/xvvqjw9fcb #therapy https://t.co/behuy2cq1f",_carrienet_,[],2018-11-30 07:36:43+00:00,243,1658,[]
_carrienet_,"bipolar spouses… who’s taking care of you? a diagnosis of bipolar disorder demands attention. spouses, family and friends often have to cope with their loved one’s serious mood and behavioral problems. these mood swings and behaviors can https://t.co/xvvqjw9fcb #therapy https://t.co/behuy2cq1f",no retweet username,[],2018-11-30 07:34:52+00:00,82491,62811,[]
_SimplyNadia,bro i can’t remember if cassie was diagnosed or not but this bitch is definitely bipolar,no retweet username,[],2018-11-30 07:08:17+00:00,2488,828,[]
chasekaracostas,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-30 06:36:42+00:00,1074,822,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
ohsopetite_,having being diagnosed with bipolar 1 with major depression and anxiety is fucking exhausting. i have at least 12345678 mental breakdowns a fucking day or end up in a idgaf mood for days 🤦🏽‍♀️ or sitting at home crying over homework while watching movies 😕,no retweet username,[],2018-11-30 06:18:43+00:00,2011,810,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
Les_Worse,@politicsluo @benscionti @brodiedduncan he said he had been diagnosed with bipolar depression. but then tried to say that wasn’t true and he was only “sleep-deprived”,no retweet username,[],2018-11-30 03:58:44+00:00,178,2179,"['diagnosed with', 'diagnosed with bipolar']"
GamingHuntress,"@ttvxheadshotx thank you!!!! i have been diagnosed with depression, bipolar and an anxiety disorder. if i’m having an attack, ppl will say just breathe or it’s not that bad. some ppl just don’t understand and are too stupid to comprehend.",no retweet username,[],2018-11-30 03:31:51+00:00,151,163,['diagnosed with']
kmcooley,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-30 03:04:55+00:00,3315,1070,"['diagnosed with', 'diagnosed with bipolar']"
BROserade,"me: gee why am i very suddenly in the worst mood ever
brain: nuke you have been clinically diagnosed with bipolar 2 disorder with extreme rapid cycling
me: psh i guess i'm just garbage",no retweet username,[],2018-11-30 02:50:40+00:00,313,425,"['diagnosed with', 'diagnosed with bipolar']"
elaecrire,"so guess who got semi-diagnosed with bipolar at 1am after taking a 3 hour walk, hallucinating at a petrol station, and laughing uncontrollably at the lady from nhs 111",no retweet username,[],2018-11-30 01:06:07+00:00,283,395,[]
AdrianL65491019,@iwriteallday_ may i ask “ how do you deal with depression i was diagnosed with bipolar depression years ago and it’s really hard and i’m currently extremely suicidal “,no retweet username,[],2018-11-30 00:41:18+00:00,1,68,"['diagnosed with', 'diagnosed with bipolar']"
alexiskienlen,"@agawilmot i'm strangely okay. i guess it's the lithium. and my lightbox. i just went to the psychiatrist and i was like.... i'm okay, which is weird for me. they diagnosed me as soft bipolar, which means i just crash down in cycles and need to be treated with bipolar medication. no mania",no retweet username,[],2018-11-30 00:14:21+00:00,5102,5476,[]
NaosRain,@starrvskles i might have adhd cause most if not all of these are me and i got diagnosed with bipolar disorder instead ah;,no retweet username,[],2018-11-29 23:54:29+00:00,358,145,"['got diagnosed', 'diagnosed with', 'i got diagnosed', 'diagnosed with bipolar']"
_bitchybrooke,"it’s honestly hard to believe that between my brothers and i, that i ended up being the diagnosed bipolar. guess my self control must be insane lmao i watched them be moody my entire life and hated it",no retweet username,[],2018-11-29 23:42:55+00:00,1188,795,['diagnosed bipolar']
forrestmilburn,"for andrea garza, being diagnosed with bipolar ii disorder her first year at ut was a blessing in disguise.

“i just thought i was broken. i just thought there was something wrong.""

https://t.co/vspizocnlo via @kemeyertons/@thedailytexan #mentalillnessmeans",no retweet username,[],2018-11-29 23:27:58+00:00,5629,3886,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
_uhhmerica,my professor just diagnosed me ... i’m not depressed. i’m bipolar. bitch.,no retweet username,[],2018-11-29 23:09:56+00:00,220,204,[]
Kailashana123,"before john gurney whips me into submission, i submit his prose for your entertainment.  enjoy.

 three wise men and a couple of donkeys

jesus was diagnosed as suffering from bipolar disorder at an early age.... https://t.co/frcuoobdrb",no retweet username,[],2018-11-29 22:48:06+00:00,8,20,[]
ShayVillere,i was diagnosed with bipolar at 16....and about a decade later i wrote a book about how to succeed despite the problems.....  here is your free copy...  https://t.co/fnidqvdpzj,no retweet username,[],2018-11-29 22:21:47+00:00,2189,273,"['diagnosed with', 'diagnosed with bipolar']"
tawnae,@drphil this is so much like my marriage situation. he can be so mean and has been diagnosed bipolar. he won't take the meds. he's tried to kill me! he almost broke our daughter's arm before. he's done so much to me i can't even put into words it's too much. i'm stuck financially.,no retweet username,[],2018-11-29 21:59:51+00:00,7,33,['diagnosed bipolar']
OWNTVFans,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 21:23:30+00:00,13372,4361,"['diagnosed with', 'diagnosed with bipolar']"
LaPetiteMorte1,@chrisdead00 i had therapy as a kid because i chased a girl around with a fake gun and got diagnosed with mild bipolar disorder.  is this tea enough?,no retweet username,[],2018-11-29 21:20:06+00:00,33,82,"['got diagnosed', 'diagnosed with']"
AdrianaRezal,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-29 21:19:12+00:00,187,583,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
RichOnOWN,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 21:19:08+00:00,27777,12932,"['diagnosed with', 'diagnosed with bipolar']"
myrnamanners,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:55:22+00:00,741,870,"['diagnosed with', 'diagnosed with bipolar']"
BBRFoundation,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:37:52+00:00,9676,2905,"['diagnosed with', 'diagnosed with bipolar']"
DDebroy84,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:26:10+00:00,2018,1454,"['diagnosed with', 'diagnosed with bipolar']"
bmsnews,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:23:38+00:00,153730,1108,"['diagnosed with', 'diagnosed with bipolar']"
NatriceR,"rapid cycling in #bipolardisorder was introduced in the 70s, and up to 1/3 of hospitalized patients currently receive this diagnosis. but why? a lack of clarity regarding its usefulness and its value in #treatment planning and prognosis. read on: https://t.co/ahgsdotgqs",BCPsychosis,"[{'text': 'bipolardisorder', 'indices': [34, 50]}]",2018-11-29 20:20:23+00:00,15212,16601,[]
BCPsychosis,"rapid cycling in #bipolardisorder was introduced in the 70s, and up to 1/3 of hospitalized patients currently receive this diagnosis. but why? a lack of clarity regarding its usefulness and its value in #treatment planning and prognosis. read on: https://t.co/ahgsdotgqs",no retweet username,"[{'text': 'bipolardisorder', 'indices': [17, 33]}]",2018-11-29 20:20:04+00:00,3247,4052,[]
rocknrobintv,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:18:36+00:00,2493,138,"['diagnosed with', 'diagnosed with bipolar']"
chromedolores61,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:10:36+00:00,1014,1494,"['diagnosed with', 'diagnosed with bipolar']"
tlalberta,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 20:08:30+00:00,470,705,"['diagnosed with', 'diagnosed with bipolar']"
catrcardenas,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-29 20:06:25+00:00,2152,1531,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
otdderamin,"#disabledcritters diagnosed aspie and bipolar. ever-recovering from burnout and ensuing agoraphobia (never liked crowds anyway). fit the pathological demand avoidance-profile ridiculously well, but that's not a recognised thing where i live. thumb (overuse), shoulder (heavy -&gt; https://t.co/7ejwk1vqix",ElenariaNiAesin,"[{'text': 'DisabledCritters', 'indices': [21, 38]}]",2018-11-29 20:06:00+00:00,3528,1083,[]
jettheexpert,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 19:50:03+00:00,455,827,"['diagnosed with', 'diagnosed with bipolar']"
patsee1,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 19:36:36+00:00,326,588,"['diagnosed with', 'diagnosed with bipolar']"
MBHolistic,suicidal behavior in patients diagnosed with bipolar disorder https://t.co/bgvbpts7bb,no retweet username,[],2018-11-29 19:34:06+00:00,23824,26777,"['diagnosed with', 'diagnosed with bipolar']"
shamekaoliver53,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 19:33:57+00:00,175,1581,"['diagnosed with', 'diagnosed with bipolar']"
ggirl09R,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,RobinRoberts,"[{'text': 'ThriverThursday', 'indices': [39, 55]}]",2018-11-29 19:32:02+00:00,8986,9680,"['diagnosed with', 'diagnosed with bipolar']"
MerryMatsuri,"yesterday i had a follow-up w/ my psychiatrist. i've kept quiet about things for 2 years while trying to get a diagnosis/therapy/meds. i'm still bipolar ofc, but i'm finally starting to feel more stable and happier. modern medicine is an amazing thing. https://t.co/k5tc8vyt00",no retweet username,[],2018-11-29 19:31:50+00:00,602,460,[]
RobinRoberts,our third episode of #thriverthursday shares the story of claire griffiths. at 13 she was diagnosed with bipolar disorder. she is now sharing her journey and working to change the stigma of mental health. watch here: https://t.co/qaanhkr96l,no retweet username,"[{'text': 'ThriverThursday', 'indices': [21, 37]}]",2018-11-29 19:31:43+00:00,1140256,1701,"['diagnosed with', 'diagnosed with bipolar']"
GlamSexStories,weed made sex amazing but weed isn't doing the trick since she got diagnosed with bipolar disorder https://t.co/ezqsiipabl,no retweet username,[],2018-11-29 19:27:47+00:00,701,110,"['got diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
ElenariaNiAesin,"#disabledcritters diagnosed aspie and bipolar. ever-recovering from burnout and ensuing agoraphobia (never liked crowds anyway). fit the pathological demand avoidance-profile ridiculously well, but that's not a recognised thing where i live. thumb (overuse), shoulder (heavy -&gt; https://t.co/7ejwk1vqix",no retweet username,"[{'text': 'DisabledCritters', 'indices': [0, 17]}]",2018-11-29 19:17:37+00:00,96,154,[]
JTLindsey_,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-29 18:11:36+00:00,390,640,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
BipolarNetwork,"once bipolar disorder is accurately diagnosed and treated, it’s a highly manageable disease that can be controlled throughout the patient’s lifetime. @michaelpipich #5280 https://t.co/3plkv4je76",no retweet username,[],2018-11-29 18:10:03+00:00,68,69,[]
SjobergReport,"“i just thought i was broken,” advertsing junior andrea garza told @kemeyertons about her life before being diagnosed with bipolar disorder in college. 

check out @thedailytexan to learn more about how bipolar affects almost 3 percent of people over 18: https://t.co/nyxyvfdv4i https://t.co/cpu741rrp0",anxious_maria,[],2018-11-29 18:09:45+00:00,1508,2139,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
